leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,page
20c06ae5-1b99-4086-95db-c8d45675a68a,RANKED_SOLO_5x5,DIAMOND,I,13aWX63rJMxd0jTW44WqIarOp88F_75ODAT-skkzbS2BimIa,gReY42,0,24,20,False,False,False,False,1
79f23cf8-e7e5-4308-af7d-e672dfb60d5f,RANKED_SOLO_5x5,DIAMOND,I,TOoVSFMgzHUMjOrMWOL-_3qER-DQaHEWlmqTJ6iyt9NRDREO,Dino Sup,75,14,5,False,False,False,True,1
4ea37f43-59d5-44f3-b158-12d4aa2d6d09,RANKED_SOLO_5x5,DIAMOND,I,TRSVYjJ3HJrm6l6WRXNUPsNhDNmZsysvnMLogL2kAFLpUz_l,shawty W blades,16,70,53,False,False,False,True,1
91252416-d788-44b0-9d85-75960d370273,RANKED_SOLO_5x5,DIAMOND,I,ctyh_My4g6v2JKRoKkcuTfw8cmB7-zKBGOrG0FViS5Inws-6,All Mute Always,25,88,93,False,False,True,False,1
4bc7e31c-3368-4e94-b210-5cbc2f633251,RANKED_SOLO_5x5,DIAMOND,I,9LnuhWnvisk8Dhb1uX3FG36CI1AGvgfr-w9ei6GGQze5Tt41,TL Honda APA,75,16,13,False,False,False,False,1
f2d2eb67-28d6-4ce2-8374-a8c0be75f15b,RANKED_SOLO_5x5,DIAMOND,I,TSAdQPKypTQDOvd2JGrg6YMkrGVCdalYWMpxB9D5pjqfvt-F,Rongrui,75,48,50,False,False,False,False,1
73f0ff37-37fa-497b-b1b1-5402dcbbe8f5,RANKED_SOLO_5x5,DIAMOND,I,MxbCkortmHSDEONYwHSOXJN9VVy9RM4p52g4KLoDxN2gi3vx,Jaberr,51,33,30,False,False,False,False,1
e432ec36-5eb3-443c-ac6d-fc510e40dea4,RANKED_SOLO_5x5,DIAMOND,I,RjKamFTPwF3x1asim-NuG_eI_tSRN1UtvJ2F0UrBxNCf6n-i,Mòliyu,0,70,67,False,False,False,False,1
f0e66bd7-ca0e-4dba-9511-184f2965b878,RANKED_SOLO_5x5,DIAMOND,I,OEaZi-35D7S7TDwA9J8o9fiL6HOmVYAv0TajqSb0cwQTHzvs,Artificial,55,28,27,False,False,False,True,1
f0b20be9-c6c7-4f2d-9eea-cb87f9f60eb8,RANKED_SOLO_5x5,DIAMOND,I,Bgn7g-m1DpL-w3bURafsW9BPLpL0t2cOpXQIvAeulT8IWh9p,E Girl Duo,5,11,8,False,False,False,False,1
f08e0de7-31d7-494e-add2-d46570d95d63,RANKED_SOLO_5x5,DIAMOND,I,Qk7d5syclURenJB4ugAcxdz65etTt6kjajUB4HfeGlQ6H4Jh,Shubao,22,222,191,False,False,False,False,1
1194c474-dcc9-4aad-a607-5e4836affe26,RANKED_SOLO_5x5,DIAMOND,I,asifbEq3u0SXMw5cRHx9n_1HdEhcrM31WxZwLdb-hD2-Fa6O,chahae,19,59,46,False,False,False,False,1
1a39eac4-e119-4519-b33f-933f602d1472,RANKED_SOLO_5x5,DIAMOND,I,J2eGqpINJqvx9onD6PMWqETd490nnnbGgbMp5m96Sakr4UhV,lxncrize,75,43,43,False,False,False,False,1
7cfdf391-eadd-4cfc-847e-3e77663378a5,RANKED_SOLO_5x5,DIAMOND,I,Z0QukHEylGE3_3-bQCbZE2wDmb2qteElcwSq6fzhrs55Ge9o,ZETEZ,75,95,96,False,False,False,False,1
b81f2ee0-3c4a-4deb-bfe0-d7c3ea74d96e,RANKED_SOLO_5x5,DIAMOND,I,dEgW8M8kBjb2W6E6jceyZ0axnEqG79ltYOtrzlqJT5DqzzEw,Venomous,76,16,12,False,False,False,False,1
589cd0e3-0d4c-4431-aa47-e01847a616b8,RANKED_SOLO_5x5,DIAMOND,I,s0z-fEXM9li3R3mPffcd15pHwjWF2uC3M25YsbIIsOT5xUd6,Obuu,0,26,22,False,False,False,False,1
a2cfe663-471b-4f76-b1fe-f30ce63aeeab,RANKED_SOLO_5x5,DIAMOND,I,19tyXbowBHWQRRKgRsx477g5_SkAXbz3dwB1nSbRAZd14Cuw,UncleMumble,0,59,50,False,False,True,False,1
e52edcfd-1137-4930-bb19-12a159e9ffa3,RANKED_SOLO_5x5,DIAMOND,I,e74Yo9JqbXirSmp-sLhbKYKFs9n6potHxfupEAalW33Vmyji,Rokosoy,0,20,25,False,False,False,False,1
b3b0ee59-788f-4aa1-9c51-fba73cc8fc4c,RANKED_SOLO_5x5,DIAMOND,I,U7yHdYJbTaFMUiVbxus_EIgbGDr8_MxUpqhYyQDJTPeHHvsq,audiopium,21,47,44,False,False,False,False,1
24e73842-3a89-4094-8023-a20965606801,RANKED_SOLO_5x5,DIAMOND,I,6OQHsmIQ0uf3fVHVsfOszw3EiSTinhq8tRPbyjpEJtHj_R4n,monkey get funky,81,61,43,False,False,False,False,1
6c283916-5841-4236-8621-ec4c8ea64c81,RANKED_SOLO_5x5,DIAMOND,I,0mds3a0kTZpWnFm0ty_4bT5Ut41ul6AN7l3tLaGcp5o9AWhT,ZHº,75,97,95,False,False,True,False,1
f2d2eb67-28d6-4ce2-8374-a8c0be75f15b,RANKED_SOLO_5x5,DIAMOND,I,UGrDuIS2r8-OxlGszmbl4MaKBbt3T92QmSzPS-8nZC6gMl2G,Axions,81,54,55,False,False,False,True,1
681a62bd-b4bf-495d-a6f2-6ad86204297b,RANKED_SOLO_5x5,DIAMOND,I,VJSCWFY6oFwzaGm5kWXv51Iht__6iyuEB7zodJZFkNEMOb6W,nyuh,75,68,58,False,False,True,False,1
8eacfaa8-d3e9-4df1-822e-5d16dcdcca17,RANKED_SOLO_5x5,DIAMOND,I,ZG1zV8f6pUEwamQ8iicVYcErb4K_lvIAJCS-yZsqQnwBZ-F2,ToastandButter3x,42,191,158,False,False,False,False,1
4a6bd19f-5a0e-45ee-9fbc-38c3db5e7f2e,RANKED_SOLO_5x5,DIAMOND,I,Qn4_n1mPhWK90zFeZwCA0OZUgQGlwAx60IsYyIZqppssF0pH,Mr Kottio,77,108,114,False,False,True,False,1
ecc7d73b-9e83-48ea-9ec0-9fd7648061b5,RANKED_SOLO_5x5,DIAMOND,I,w60Bzba2QeIGWfbWmF_1EY4as5rVIpl-XdPb_vB0Oj-08Dr7,Tabq,0,37,20,False,False,False,False,1
3bf76eb0-8563-44f9-870d-f955806fb0b7,RANKED_SOLO_5x5,DIAMOND,I,0XLP45xurHDrVyPHunDB4gKjG_VvwieXbwlpL5Vzq84h89Up,dear sajed,29,24,27,False,False,False,False,1
e152fad7-64ad-4eb8-b4da-40a4bbc52df6,RANKED_SOLO_5x5,DIAMOND,I,60DC7fbDrpoLvSzKBa1WmQ38TP1VNSiPsbsw4VjLYppEmSKs,Deauna,0,42,27,False,False,False,False,1
c76c2937-c335-4d03-ae4c-1a9cb1474371,RANKED_SOLO_5x5,DIAMOND,I,TyBCwzqGDk4cDFb1lfF6YQHsyQw_xjPO92lj-4b3y9k1yFUr,Chubymonkeyy,5,99,97,False,False,False,False,1
1fbfdbd7-0eb4-4cfd-ba31-06564e11aa8f,RANKED_SOLO_5x5,DIAMOND,I,obcFicU_ApekKqfyuYjMZUrvysS9vOL6GiEGPECN4tKuFbit,Mooncakez,75,19,14,False,False,False,False,1
0d720741-00c3-4e09-aa1d-0b77b7f901d2,RANKED_SOLO_5x5,DIAMOND,I,jZqaRLf2IpxqV0NOXbaoZxBrm-KAbc7UyYXo81GC8e4LYRer,Shu Shu nie,75,33,31,False,False,True,False,1
b4b40349-c81a-476f-8d31-45a65ae1f44c,RANKED_SOLO_5x5,DIAMOND,I,jCU2Op2qr_aYnTu8pec8F6wt9RUwixl7f8w4TM-zYEXavxDy,l1ttlefish,29,22,24,False,False,False,False,1
efe22024-1f92-42c4-a36d-8ec5e2388b0c,RANKED_SOLO_5x5,DIAMOND,I,cZiINTwYCme0QoFYiYh-Qqk86aKLzeVQN5G6TWa8KqutGHws,robostalker,40,28,17,False,False,False,False,1
edadaa01-20cf-4d00-acfb-e44e1010a704,RANKED_SOLO_5x5,DIAMOND,I,udi9UKTmi1q_gPCqjB_JguCp__N1hs0bs_Af9cnRbgRinLi1,peep off,75,34,21,False,False,False,False,1
d43711d1-7ec6-42e6-a9c4-f4535c959768,RANKED_SOLO_5x5,DIAMOND,I,_IjnSSe-4c7NlH7RB0I_dqGNGaEttELFHDSDPIAwqqfRRHcc,Deckarine,49,122,130,False,False,True,False,1
322d0c73-09a7-4e9e-800c-782e01f9c96e,RANKED_SOLO_5x5,DIAMOND,I,cVFj_-VW4PGwm0mgUsijyKjADMkp5Shmb9v5QThr1-ggFcyW,Valice,26,30,25,False,False,False,False,1
8708094c-897a-4e9e-a04f-ae4a240567db,RANKED_SOLO_5x5,DIAMOND,I,Nc6YDpzRkESPlczOCKagCTOpysOKP-gjssxIqzGJ_HfN30qP,ThiccDuck,75,55,41,False,False,True,False,1
7cfdf391-eadd-4cfc-847e-3e77663378a5,RANKED_SOLO_5x5,DIAMOND,I,Rm4rXNJdx6e6FgjshJeeS75qeop0Cg2lSHvg29oP7EUaChWr,StinkyMikey,75,126,111,False,False,False,True,1
b8cd93fb-c88c-4264-a36b-e447473ba90e,RANKED_SOLO_5x5,DIAMOND,I,mucYqNLRwc6i1b4BpP-IMQ7WE48sfPBymPVO1klApyl3rQBQ,GamerDman,0,161,131,False,False,False,False,1
d945e9a8-bebd-4bcb-8f3b-3c658e6b8aeb,RANKED_SOLO_5x5,DIAMOND,I,hsZlFdC8RKGtgvK4ly2LdJ7viKB7DzxX0AfUR_mVDAGjMQjY,I Love you ED,75,22,21,False,False,False,False,1
cb4f06bd-23cd-46c6-b92c-93edc2203b09,RANKED_SOLO_5x5,DIAMOND,I,HRGHPOCaAbL0ZFCwXkI8qB6kyISNSFfd9sPc0L651ZeQvPa6,Gustav Elijah,48,72,58,False,False,False,False,1
69586e8b-a4f9-4136-bdd1-28ff207645c7,RANKED_SOLO_5x5,DIAMOND,I,dGn5505ZcPH273xeFQ2ZqYcSQkmU9zrAdEgWTOcEswEVL3gl,starlight0326,61,139,128,False,False,False,True,1
d6d1aa2c-3309-4c84-a3a7-59a3cd03d6b6,RANKED_SOLO_5x5,DIAMOND,I,jiw6NnWE01kwcyr8gjTdtPAHeZkrGPDE75pf8zrl9jIRaDIH,bobo Xian,83,36,27,False,False,False,False,1
1a2f543b-2a42-4a35-88f2-7782abc0b853,RANKED_SOLO_5x5,DIAMOND,I,siIYdyRx0UDCenqdUu9AWaeH520fNO2KqGk7fgUOcNf9wMD4,LewisrYgFw,62,33,28,False,False,True,False,1
8eacfaa8-d3e9-4df1-822e-5d16dcdcca17,RANKED_SOLO_5x5,DIAMOND,I,fIRNkqsfvyxx4jTPVvqRF0BCa0trsp4FQaQvUHZ5SG1zrYeJ,Sestivo,30,89,102,False,False,False,False,1
6d098706-dda9-4497-9f22-c4637b1f84d3,RANKED_SOLO_5x5,DIAMOND,I,3CVEDoLMrCsoAco0SdmtjRpl7RBopniVg6N19E1KjlL6rPKx,Annihilate Fool,57,41,45,False,False,False,False,1
6346abe8-095c-4f67-b640-947e2748b029,RANKED_SOLO_5x5,DIAMOND,I,zyOG-12A91gqRxYTJDiGpz3tODkpNngRSHYHWZ4e-TwhQ0EX,2022  11  25,0,28,25,False,False,False,False,1
e5e7e753-584a-4dd1-b731-ff334963fe15,RANKED_SOLO_5x5,DIAMOND,I,_ZdNGJJZ4knHbhOwpxkWdR3STZPriFddyd4a3HPiq5VgSNY6,Mooncakesº,11,17,15,False,False,False,False,1
bbb00b1f-2e69-4dda-be68-33a3838471d6,RANKED_SOLO_5x5,DIAMOND,I,USf6ghwEgySCX0M1GWlGST7qSAGz_dLYB21bH149fPh8PEr5,Víscaria,19,43,60,False,False,False,True,1
